claim_id,claim_date,sale_id,product_id,repair_status
1,2024-01-04,187632,P-1051,Repaired
2,2024-08-12,142440,P-1076,Repaired
3,2025-10-12,131581,P-1087,Replaced
4,2025-08-11,216515,P-1086,Replaced
5,2024-09-30,189933,P-1074,Replaced
6,2023-06-06,349964,P-1059,Repaired
8,2025-06-28,135336,P-1086,Replaced
10,2025-01-14,161515,P-1078,Pending
12,2023-04-26,304923,P-1051,Repaired
13,2025-07-22,80104,P-1068,Repaired
14,2024-04-02,306794,P-1067,Replaced
16,2024-05-14,143241,P-1066,Replaced
17,2025-01-21,75515,P-1089,Repaired
18,2025-11-24,7115,P-1052,Repaired
20,2024-03-19,361158,P-1064,Repaired
21,2025-10-04,196249,P-1088,Repaired
23,2025-12-26,65804,P-1072,Replaced
25,2024-02-08,348049,P-1066,Repaired
26,2023-03-01,177400,P-1051,Repaired
27,2024-01-05,194968,P-1065,Repaired
28,2025-09-04,35232,P-1092,Replaced
31,2024-11-19,172038,P-1084,Replaced
33,2023-11-08,196459,P-1067,Repaired
34,2025-11-01,267047,P-1098,Repaired
35,2025-05-30,275700,P-1099,Rejected
36,2025-01-24,158423,P-1087,Repaired
37,2023-10-03,11240,P-1067,Replaced
38,2023-04-13,68504,P-1053,Repaired
40,2025-05-08,214202,P-1067,Rejected
41,2025-08-04,191188,P-1094,Repaired
42,2024-11-07,141344,P-1093,Repaired
43,2024-12-12,287176,P-1075,Repaired
44,2025-03-27,117539,P-1063,Repaired
45,2025-02-21,159092,P-1084,Repaired
46,2024-03-13,126530,P-1061,Repaired
47,2023-05-20,49023,P-1051,Rejected
49,2025-03-10,2822,P-1074,Repaired
51,2023-05-31,130881,P-1058,Repaired
52,2025-12-22,166,P-1088,Repaired
53,2025-12-20,193817,P-1102,Repaired
54,2025-12-25,92360,P-1105,Pending
55,2024-11-20,92453,P-1089,Repaired
56,2025-01-13,16835,P-1049,Repaired
57,2025-12-21,194176,P-1104,Repaired
58,2025-02-02,145001,P-1075,Repaired
59,2025-05-27,251578,P-1095,Repaired
60,2024-09-29,73428,P-1058,Repaired
61,2025-09-29,94286,P-1085,Repaired
63,2025-11-21,103179,P-1099,Repaired
64,2025-08-22,158626,P-1074,Repaired
66,2025-02-18,273712,P-1089,Replaced
67,2023-09-28,282757,P-1051,Replaced
71,2024-01-23,18056,P-1060,Repaired
72,2025-02-18,124180,P-1077,Repaired
73,2024-12-10,247128,P-1077,Pending
74,2025-04-13,258719,P-1090,Repaired
75,2024-06-17,145894,P-1056,Repaired
76,2023-09-02,277127,P-1066,Repaired
77,2025-02-10,50251,P-1085,Replaced
79,2024-03-03,266454,P-1063,Pending
81,2024-03-05,16170,P-1062,Repaired
83,2025-02-01,62167,P-1079,Rejected
85,2025-08-22,139015,P-1102,Replaced
86,2024-01-25,101827,P-1065,Pending
87,2025-11-28,130083,P-1075,Repaired
89,2025-03-31,172138,P-1086,Repaired
90,2025-09-30,120347,P-1076,Replaced
91,2025-12-08,349548,P-1094,Repaired
92,2024-12-04,94870,P-1063,Rejected
94,2023-12-29,124219,P-1067,Repaired
95,2025-06-12,296446,P-1062,Repaired
96,2024-07-27,70377,P-1066,Replaced
97,2023-06-15,344319,P-1051,Replaced
98,2024-04-12,105752,P-1069,Rejected
99,2025-04-11,19011,P-1076,Repaired
100,2025-07-29,167428,P-1092,Repaired
101,2024-01-04,175104,P-1051,Pending
102,2025-07-23,251449,P-1091,Repaired
103,2023-05-18,63879,P-1052,Replaced
104,2025-08-13,98893,P-1098,Repaired
105,2025-06-07,147750,P-1094,Repaired
106,2025-01-31,179638,P-1075,Repaired
107,2025-11-18,55188,P-1068,Repaired
108,2025-04-06,126379,P-1088,Replaced
109,2025-01-21,12506,P-1071,Repaired
111,2025-08-08,189334,P-1087,Repaired
112,2025-08-23,117723,P-1103,Pending
113,2025-11-09,276114,P-1104,Repaired
115,2023-12-21,317389,P-1066,Repaired
116,2023-10-16,162064,P-1068,Replaced
117,2024-02-23,144763,P-1071,Replaced
118,2023-10-24,334295,P-1066,Replaced
119,2025-11-13,65547,P-1056,Repaired
120,2023-10-29,46150,P-1053,Replaced
121,2024-06-05,323241,P-1070,Repaired
122,2025-12-09,247645,P-1104,Replaced
123,2025-10-08,5881,P-1062,Repaired
124,2024-05-29,43621,P-1065,Repaired
125,2023-08-29,21454,P-1063,Replaced
126,2025-02-19,309854,P-1088,Repaired
127,2024-11-22,8168,P-1090,Repaired
128,2024-08-29,25745,P-1069,Repaired
129,2024-10-04,279889,P-1079,Repaired
132,2025-07-08,106253,P-1076,Repaired
133,2025-12-05,115616,P-1103,Replaced
135,2025-03-28,166072,P-1088,Repaired
137,2025-12-22,6781,P-1071,Repaired
138,2025-08-10,214106,P-1088,Repaired
139,2025-10-13,107749,P-1079,Replaced
142,2025-07-23,71270,P-1092,Repaired
143,2023-09-21,173559,P-1065,Repaired
144,2025-08-04,288085,P-1090,Repaired
145,2025-01-25,294436,P-1079,Rejected
146,2025-09-04,296283,P-1078,Replaced
147,2025-01-24,186812,P-1087,Repaired
148,2023-09-03,83088,P-1057,Replaced
151,2025-07-04,20481,P-1078,Pending
152,2025-03-22,58914,P-1067,Rejected
153,2023-07-25,158301,P-1052,Replaced
155,2025-01-19,158498,P-1061,Repaired
156,2025-09-25,70629,P-1085,Repaired
157,2025-10-06,161184,P-1086,Repaired
158,2025-12-03,206816,P-1097,Repaired
159,2025-06-27,99379,P-1067,Rejected
160,2025-03-18,349206,P-1083,Repaired
162,2025-08-16,273724,P-1051,Rejected
163,2023-11-08,237036,P-1055,Repaired
165,2024-05-09,353298,P-1065,Repaired
166,2024-11-02,207339,P-1071,Pending
167,2025-06-02,72743,P-1053,Repaired
169,2024-03-22,23778,P-1052,Replaced
170,2024-12-30,238291,P-1065,Rejected
171,2025-12-27,308768,P-1102,Repaired
172,2023-08-01,9294,P-1051,Replaced
173,2025-01-19,41987,P-1072,Repaired
175,2023-08-23,218109,P-1051,Repaired
176,2023-12-23,178295,P-1051,Repaired
179,2025-06-22,313996,P-1081,Rejected
180,2025-12-01,43537,P-1077,Repaired
182,2024-12-08,312181,P-1082,Repaired
183,2025-12-02,9255,P-1078,Replaced
185,2025-11-28,169123,P-1068,Repaired
187,2024-07-27,233558,P-1060,Rejected
189,2025-03-15,121324,P-1079,Repaired
191,2025-06-25,39917,P-1055,Repaired
192,2023-02-18,197305,P-1049,Replaced
193,2024-09-27,113955,P-1076,Pending
195,2024-07-10,319852,P-1063,Replaced
196,2023-12-21,163776,P-1050,Repaired
198,2024-09-28,225866,P-1076,Repaired
199,2024-06-09,136486,P-1063,Repaired
200,2025-03-20,94046,P-1083,Repaired
202,2025-01-22,310705,P-1089,Repaired
203,2025-11-25,359600,P-1095,Repaired
205,2025-09-23,155185,P-1098,Repaired
206,2025-09-07,67811,P-1078,Repaired
207,2024-12-26,10783,P-1074,Pending
208,2025-07-17,224459,P-1088,Replaced
209,2024-05-01,131018,P-1066,Pending
211,2025-10-11,182377,P-1082,Repaired
212,2025-05-04,86627,P-1063,Rejected
213,2025-08-04,64745,P-1083,Repaired
214,2025-05-31,159315,P-1082,Replaced
215,2023-01-05,333420,P-1052,Repaired
217,2025-05-06,330888,P-1082,Replaced
219,2024-11-17,83078,P-1065,Repaired
220,2025-08-09,4147,P-1092,Rejected
222,2023-11-05,157126,P-1050,Repaired
223,2024-03-21,302978,P-1049,Rejected
224,2023-06-28,137162,P-1052,Repaired
225,2024-12-25,167179,P-1072,Repaired
227,2025-04-29,57149,P-1077,Repaired
228,2025-06-12,214048,P-1065,Pending
229,2025-11-14,104987,P-1083,Repaired
230,2024-09-30,188589,P-1072,Replaced
231,2025-12-22,37781,P-1104,Repaired
232,2024-04-02,275349,P-1072,Repaired
233,2025-06-15,216723,P-1085,Repaired
234,2025-09-02,109766,P-1052,Pending
235,2024-10-24,64835,P-1079,Replaced
237,2023-12-21,326422,P-1059,Pending
238,2025-11-25,141287,P-1091,Rejected
239,2025-02-14,199857,P-1088,Repaired
241,2024-11-25,322363,P-1067,Repaired
242,2025-02-14,356829,P-1075,Rejected
243,2023-12-05,68453,P-1057,Replaced
245,2025-02-26,113646,P-1082,Pending
246,2025-05-09,17437,P-1073,Repaired
247,2023-10-10,314479,P-1050,Pending
248,2025-06-28,231423,P-1099,Pending
249,2025-11-26,45049,P-1098,Repaired
250,2025-11-03,264249,P-1080,Repaired
251,2025-01-18,220929,P-1086,Repaired
252,2025-12-30,239959,P-1083,Pending
254,2025-12-31,131305,P-1049,Replaced
255,2025-11-15,343722,P-1089,Rejected
256,2023-06-29,53541,P-1049,Replaced
257,2024-03-14,133870,P-1068,Repaired
259,2024-10-18,268778,P-1079,Repaired
260,2025-11-08,305757,P-1098,Repaired
261,2025-03-17,288592,P-1078,Repaired
262,2023-09-17,50386,P-1051,Repaired
265,2025-09-22,324749,P-1070,Repaired
266,2023-12-23,243569,P-1065,Rejected
267,2023-11-18,153559,P-1059,Rejected
268,2023-06-28,272368,P-1052,Repaired
269,2025-07-01,67856,P-1068,Pending
270,2025-06-10,287057,P-1085,Repaired
271,2025-08-22,124745,P-1087,Repaired
272,2024-12-28,281364,P-1088,Repaired
273,2025-09-11,55017,P-1055,Replaced
274,2025-05-12,40475,P-1072,Rejected
275,2025-12-09,115845,P-1101,Repaired
277,2025-02-18,152560,P-1076,Rejected
278,2024-02-17,170578,P-1051,Pending
279,2025-05-28,104321,P-1084,Rejected
280,2023-08-18,242577,P-1063,Replaced
281,2025-02-15,75823,P-1063,Repaired
282,2025-04-24,237547,P-1093,Rejected
283,2023-09-11,209637,P-1060,Repaired
285,2025-06-29,102702,P-1094,Repaired
286,2025-12-25,316143,P-1065,Replaced
287,2025-03-21,33863,P-1078,Replaced
288,2025-07-26,156019,P-1061,Replaced
289,2025-01-25,207630,P-1066,Repaired
290,2025-10-27,109806,P-1087,Repaired
292,2025-09-01,331651,P-1095,Replaced
295,2023-12-14,132134,P-1057,Rejected
296,2024-12-28,341375,P-1074,Repaired
297,2024-07-10,277623,P-1062,Repaired
298,2025-06-04,80129,P-1096,Replaced
300,2025-04-30,57597,P-1108,Replaced
301,2024-11-23,65650,P-1086,Replaced
302,2025-06-11,9663,P-1080,Rejected
303,2024-12-29,333155,P-1080,Rejected
304,2025-05-10,360888,P-1066,Rejected
305,2025-09-15,46784,P-1080,Repaired
307,2025-09-19,258613,P-1087,Repaired
308,2025-09-20,326608,P-1053,Replaced
311,2025-04-27,198846,P-1077,Replaced
314,2025-08-05,218987,P-1066,Repaired
316,2024-02-11,192833,P-1068,Pending
317,2024-05-02,346287,P-1072,Replaced
318,2025-09-22,325087,P-1098,Repaired
319,2025-05-09,216998,P-1079,Replaced
321,2025-12-02,58004,P-1049,Pending
322,2024-07-27,341081,P-1065,Repaired
323,2025-06-16,135308,P-1083,Repaired
324,2025-04-14,13411,P-1088,Repaired
325,2025-08-02,135904,P-1085,Repaired
326,2024-09-29,263929,P-1065,Repaired
328,2025-04-30,249125,P-1082,Repaired
330,2025-10-08,255326,P-1104,Replaced
331,2024-01-23,155517,P-1067,Repaired
332,2025-06-15,245530,P-1097,Repaired
333,2025-10-18,257717,P-1086,Repaired
335,2025-11-25,172467,P-1104,Replaced
336,2024-11-14,93781,P-1075,Repaired
338,2023-04-18,125466,P-1057,Repaired
339,2023-08-01,126328,P-1053,Repaired
340,2025-10-11,267591,P-1085,Repaired
341,2023-11-20,136056,P-1067,Repaired
343,2025-06-12,344318,P-1072,Pending
344,2025-11-17,39540,P-1101,Replaced
346,2024-11-07,236546,P-1087,Replaced
347,2025-08-19,99642,P-1097,Replaced
348,2024-01-22,539,P-1066,Repaired
349,2025-04-20,222676,P-1083,Repaired
351,2024-06-20,168491,P-1069,Repaired
352,2023-11-28,262566,P-1065,Repaired
353,2025-08-22,159172,P-1087,Repaired
354,2025-05-26,33464,P-1090,Repaired
356,2025-03-31,82115,P-1079,Pending
357,2024-10-31,12535,P-1088,Repaired
358,2025-10-15,28729,P-1096,Rejected
359,2025-05-09,137210,P-1085,Repaired
360,2025-10-29,349999,P-1084,Repaired
361,2025-05-16,195203,P-1095,Repaired
363,2025-10-08,333722,P-1076,Repaired
365,2025-03-04,171511,P-1078,Repaired
366,2023-10-29,133604,P-1068,Pending
368,2023-12-02,71746,P-1064,Pending
369,2025-12-06,69683,P-1105,Repaired
370,2025-04-21,213923,P-1086,Rejected
371,2023-08-15,245216,P-1050,Repaired
372,2025-01-08,67554,P-1093,Rejected
373,2025-09-07,102770,P-1092,Replaced
374,2025-02-11,79521,P-1076,Repaired
377,2024-04-19,183708,P-1068,Repaired
378,2024-08-04,185058,P-1059,Repaired
380,2024-08-08,178337,P-1079,Repaired
381,2025-11-23,104095,P-1090,Repaired
383,2025-11-10,42248,P-1067,Replaced
384,2025-08-28,51867,P-1090,Replaced
385,2024-04-23,84756,P-1065,Rejected
386,2025-02-17,329580,P-1051,Repaired
387,2024-01-24,217172,P-1068,Rejected
388,2024-08-25,348086,P-1063,Repaired
390,2023-05-11,341169,P-1058,Pending
391,2025-06-27,149521,P-1086,Repaired
392,2025-03-23,28719,P-1078,Repaired
393,2023-12-12,93102,P-1063,Repaired
397,2024-07-31,128616,P-1075,Repaired
398,2024-03-16,303950,P-1061,Replaced
402,2025-04-24,130842,P-1079,Repaired
404,2024-02-10,106365,P-1053,Repaired
405,2025-11-02,70801,P-1104,Replaced
407,2025-08-11,69702,P-1087,Repaired
408,2023-06-10,267528,P-1055,Repaired
409,2025-04-17,112423,P-1090,Repaired
411,2025-11-25,44723,P-1085,Replaced
412,2025-10-03,186758,P-1082,Repaired
413,2023-12-26,211342,P-1065,Repaired
414,2025-03-05,10436,P-1065,Rejected
415,2025-11-24,359833,P-1096,Repaired
416,2024-01-06,308767,P-1067,Replaced
417,2024-03-01,301231,P-1067,Replaced
418,2025-08-27,135368,P-1076,Repaired
419,2025-08-02,233738,P-1088,Replaced
421,2024-05-21,255012,P-1055,Pending
422,2024-02-10,179707,P-1061,Repaired
423,2025-10-05,226430,P-1104,Repaired
424,2024-01-27,292557,P-1063,Repaired
425,2025-10-12,296142,P-1095,Replaced
426,2025-08-31,26268,P-1098,Repaired
427,2023-10-05,133412,P-1051,Repaired
428,2025-04-30,302112,P-1088,Repaired
429,2025-04-30,209658,P-1087,Replaced
430,2024-11-27,205345,P-1086,Repaired
432,2024-04-10,117631,P-1073,Repaired
434,2023-07-31,182286,P-1049,Replaced
435,2025-02-20,81005,P-1079,Rejected
436,2023-10-26,141540,P-1051,Repaired
437,2025-08-27,358931,P-1104,Repaired
439,2025-10-08,188506,P-1101,Repaired
